drink_id,ingredient_name,quantity,is_allergen
51,Green Chartreuse,1 oz,f
51,Cherry Heering,1 oz,f
52,151 proof rum,1 shot,f
52,Scotch,1/2 shot,f
52,Bitters,3 drops,f
52,Wormwood,1 Fresh,f
52,Ice,cubes,f
53,Corona,1,f
53,Bacardi Limon,1 shot,f
54,Everclear,1 fifth,f
54,Vodka,1 fifth Smirnoff red label,f
54,Mountain Dew,2 L,f
54,Surge,2 L,f
54,Lemon juice,1 small bottle,f
54,Rum,1 pint,f
55,Sweet Vermouth,1 oz,f
55,Sloe gin,1 1/2 oz,f
55,Lemon peel,1 twist of,f
56,Midori melon liqueur,1/2 oz,f
56,Jägermeister,1/2 oz,f
56,Goldschlager,1/2 oz,f
57,Southern Comfort,2 oz,f
57,Triple sec,1/2 oz,f
57,Lime,2 wedges,f
57,Sour mix,2 oz,f
58,Vodka,1/4,f
58,Banana liqueur,1/4,f
58,Orange juice,1/4,f
58,Peach schnapps,1/4,f
59,Baileys irish cream,1/3 oz,f
59,Kahlua,1/3 oz,f
59,Sambuca,1/3 oz,f
60,Kahlua,2 oz,f
60,Milk,8 oz,f
60,Vanilla ice-cream,2 scoops,f
61,Blended whiskey,2 oz,f
61,Lemon,Juice of 1/2,f
61,Powdered sugar,1 tsp,f
61,Egg white,1,f
61,Cherry,1,f
62,Rum,3 parts,f
62,Dark Rum,1 part,f
62,Banana liqueur,1 part,f
62,Grenadine,1 part,f
62,Pineapple Juice,2 parts,f
62,Orange Juice,2 parts,f
62,Sweet and Sour,1 part,f
63,Gin,2 oz,f
63,Maraschino liqueur,1/4 tsp,f
63,Lemon juice,1/4 tsp,f
63,Orange bitters,2 dashes,f
63,Cherry,1,f
64,Coffee,,f
64,Milk,1/2 oz,f
64,Triple sec,1/2 oz,f
64,Brandy,,f
65,Sugar,2 tsp,f
65,Lime,1,f
65,Cachaca,2 1/2 oz,f
66,Spiced rum,1 oz,f
66,Ginger ale,,f
67,Dark rum,1-2 shot,f
67,Lime,Squeeze,f
67,Coca-Cola,Fill with,f
67,Ice,,f
68,Light rum,1 1/4 oz,f
68,Cherry brandy,1 1/2 tsp,f
68,Light cream,1 tblsp,f
69,Light rum,2 oz,f
69,Lime,Juice of 1/2,f
69,Coca-Cola,,f
70,Lime,1/2,f
70,Falernum,1/3 oz,f
70,Angostura Bitters,2 dashes,f
70,Añejo rum,1 oz,f
70,blackstrap rum,1 oz,f
71,Bacardi Limon,1 part,f
71,Coca-Cola,2 parts,f
72,Light rum,2 oz,f
72,Triple sec,1 1/2 tsp,f
72,Lime juice,1 1/2 tsp,f
72,Maraschino liqueur,1 1/2 tsp,f
73,Gin,1 1/2 oz,f
73,Grenadine,2 tsp,f
73,Lemon,Juice of 1/2,f
73,Egg white,1,f
74,Lime,2,f
74,Sugar,2 tblsp,f
74,White rum,2-3 oz,f
74,Ice,crushed,f
75,Brandy,2 oz,f
75,Triple sec,1/2 oz,f
75,Lemon juice,1 tblsp,f
76,Lager,1 bottle,f
76,Campari,1 1/2 cl,f
77,Light rum,1 oz,f
77,Port,1 oz,f
77,Lemon,Juice of 1/2,f
77,Powdered sugar,1 tsp,f
77,Egg white,1,f
77,Carbonated water,,f
78,Vodka,1 1/4 oz,f
78,Lime juice,1/4 oz,f
78,Cointreau,1/4 oz,f
78,Cranberry juice,1/4 cup,f
79,Water,2 cups,f
79,Sugar,2 cups white,f
79,Coffee,1/2 cup instant,f
79,Vanilla,1/2,f
79,Vodka,1 1/2 cup,f
79,Caramel coloring,,f
80,Gin,2 oz,f
80,Lemon juice,1/2 oz,f
80,Maraschino liqueur,1 tsp,f
80,Orange bitters,1 dash,f
80,Egg yolk,1,f
81,Gin,3/4 oz,f
81,Triple Sec,3/4 oz,f
81,Lillet Blanc,3/4 oz,f
81,Lemon Juice,3/4 oz,f
81,Absinthe,1 dash,f
82,Chocolate liqueur,1/2 shot,f
82,Milk,1/2 shot,f
82,Amaretto,1 dash,f
83,Sweet Vermouth,1 oz,f
83,Sloe gin,1/2 oz,f
83,Wine,1/2 oz Muscatel,f
84,Coffee,10 tblsp instant,f
84,Vanilla extract,4 tblsp,f
84,Sugar,2 1/2 cups,f
84,Vodka,1 qt,f
84,Water,2 1/2 cups,f
85,Coca-Cola,1 dl,f
85,Lemon juice,7 drops,f
86,Chocolate,125 gr,f
86,Milk,3/4 L,f
86,Water,,f
